COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
GUNDAM: JABURO,1,0,0,1,GUNDAM,GUNDAM,BANDAI ,BANDAI,SHOOTER,MECHANIZED SHOOTER,01-Aug-01,2001,8,T,NO,No,No,Violent
GUNDAM: ZEONIC FRONT,1,0,0,1,GUNDAM,GUNDAM,BANDAI ,BANDAI,SHOOTER,MECHANIZED SHOOTER,01-Jan-02,2002,1,T,NO,No,No,Violent
GUNGRAVE,1,0,0,1,GUNGRAVE,,SEGA OF AMERICA,POSITRON,ACTION,GENERAL ACTION,01-Sep-02,2002,9,M,NO,No,No,Violent
GUNGRAVE: OVERDOSE,1,0,0,1,GUNGRAVE,,MASTIFF,RED ENTERTAINMENT,ACTION,GENERAL ACTION,01-Sep-04,2004,9,M,NO,No,No,Violent
GUNGRIFFON BLAZE,1,0,0,1,GUNGRIFFON,,WORKING DESIGNS,GAME ARTS,SHOOTER,MECHANIZED SHOOTER,01-Oct-00,2000,10,T,NO,No,No,Violent
GUNGRIFFON: ALLIED,1,0,1,0,GUNGRIFFON,,TECMO,GAME ARTS,SHOOTER,MECHANIZED SHOOTER,01-Dec-04,2004,12,T,YES,No,No,Violent
GUNVALKYRIE,1,0,1,0,,,SEGA OF AMERICA,SMILEBIT,ACTION,GENERAL ACTION,01-Mar-02,2002,3,T,NO,No,No,Violent
HALF-LIFE,1,0,0,1,HALF-LIFE,,VIVENDI UNIVERSAL ,GEARBOX SOFTWARE,SHOOTER,1ST PERSON SHOOTER,01-Nov-01,2001,11,M,NO,Vivendi,Yes,Violent
HALO 2,2,0,2,0,HALO,,MICROSOFT ,BUNGIE SOFTWARE,SHOOTER,1ST PERSON SHOOTER,01-Nov-04,2004,11,M,YES,No,No,Violent
HALO: COMBAT EVOLVED,1,0,1,0,HALO,,MICROSOFT ,BUNGIE SOFTWARE,SHOOTER,1ST PERSON SHOOTER,01-Nov-01,2001,11,M,NO,No,No,Violent
HARD HITTER TENNIS,1,0,0,1,,,ATLUS,MAGICAL,SPORTS,TENNIS,01-Nov-02,2002,11,E,NO,No,No,Non violent
HARRY POTTER AND THE CHAMBER OF,3,1,1,1,HARRY POTTER,HARRY POTTER,ELECTRONIC ARTS,ELECTRONIC ARTS,ADVENTURE,GENERAL ADVENTURE,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
HARRY POTTER AND THE PRISONER OF,3,1,1,1,HARRY POTTER,HARRY POTTER,ELECTRONIC ARTS,ELECTRONIC ARTS,ADVENTURE,GENERAL ADVENTURE,01-Jun-04,2004,6,E,NO,No,Yes,Non violent
HARRY POTTER AND THE SORCERER'S,3,1,1,1,HARRY POTTER,HARRY POTTER,ELECTRONIC ARTS,ELECTRONIC ARTS,ADVENTURE,GENERAL ADVENTURE,01-Dec-03,2003,12,E,NO,No,Yes,Non violent
HARRY POTTER: QUIDDITCH WORLD CU,3,1,1,1,HARRY POTTER,HARRY POTTER,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,MULTIPLE/OTHER SPORTS,01-Oct-03,2003,10,E,NO,No,Yes,Non violent
HARVEST MOON: SAVE,1,0,0,1,HARVEST MOON,,NATSUME,NATSUME,RPG,RPG,01-Nov-01,2001,11,E,NO,No,No,Non violent
HARVEST MOON:WONDRFUL,1,1,0,0,HARVEST MOON,,NATSUME,NATSUME,RPG,RPG,01-Mar-04,2004,3,E,NO,No,No,Non violent
HAVEN: CALL OF KING,1,0,0,1,,,MIDWAY,TRAVELLER'S TALES,ACTION,GENERAL ACTION,01-Nov-02,2002,11,T,NO,No,No,Violent
