COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
KIRBY AIR RIDE,1,1,0,0,KIRBY,,NINTENDO OF AMERICA,HAL LABORATORY,RACING,ACTION ORIENTED RACING,01-Oct-03,2003,10,E,NO,No,No,Non violent
KLONOA 2: LUNATEA'S,1,0,0,1,KLONOA,,NAMCO,NAMCO,ACTION,PLATFORM/SCROLLING CHARACTER,01-Jul-01,2001,7,E,NO,No,No,Violent
KNIGHTS APPRENTICE,1,0,1,0,,,XS GAMES,MICROIDS,ADVENTURE,GENERAL ADVENTURE,01-Jun-04,2004,6,T,NO,No,No,Non violent
KNOCKOUT KINGS 2001,1,0,0,1,KNOCKOUT KINGS,PROFESSIONAL BOXING,ELECTRONIC ARTS,BLACK OPS ENTERTAINMENT,SPORTS,BOXING,01-Feb-01,2001,2,T,NO,No,Yes,Non violent
KNOCKOUT KINGS 2002,2,0,1,1,KNOCKOUT KINGS,PROFESSIONAL BOXING,ELECTRONIC ARTS,BLACK OPS ENTERTAINMENT,SPORTS,BOXING,01-Mar-02,2002,3,T,NO,No,Yes,Non violent
KNOCKOUT KINGS 2003,1,1,0,0,KNOCKOUT KINGS,PROFESSIONAL BOXING,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BOXING,01-Oct-02,2002,10,T,NO,No,Yes,Non violent
KOF: MAXIMUM IMPACT,1,0,0,1,KING OF FIGHTERS,,SNK,SNK PLAYMORE,FIGHTING,FIGHT/HEAD TO HEAD,01-Oct-04,2004,10,T,NO,No,No,Violent
KUNG FU CHAOS,1,0,1,0,,,MICROSOFT ,JUST ADD MONSTERS,FIGHTING,FIGHT/HEAD TO HEAD,01-Feb-03,2003,2,T,NO,No,No,Violent
KUON,1,0,0,1,,,AGETEC,FROMSOFTWARE,ADVENTURE,SURVIVAL HORROR,01-Dec-04,2004,12,M,NO,No,No,Non violent
KYA: DARK LINEAGE,1,0,0,1,,,ATARI,EDEN STUDIOS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-03,2003,11,T,NO,No,No,Violent
LA PUCELLE: TACTICS,1,0,0,1,,,MASTIFF,NIPPON ICHI SOFTWARE,RPG,RPG,01-May-04,2004,5,T,NO,No,No,Non violent
LE MANS 24 HOURS,1,0,0,1,,,ATARI,MELBOURNE HOUSE SOFTWARE,RACING,SPORTS ORIENTED RACING,01-Aug-01,2001,8,E,NO,No,No,Non violent
LEGACY OF KAIN: DEFIANCE,2,0,1,1,LEGACY OF KAIN,,EIDOS INTERACTIVE ,CRYSTAL DYNAMICS,ADVENTURE,GENERAL ADVENTURE,01-Nov-03,2003,11,M,NO,No,No,Non violent
LEGACY OF KAIN: SOUL REAVER 2,1,0,0,1,LEGACY OF KAIN,,EIDOS INTERACTIVE ,,ADVENTURE,GENERAL ADVENTURE,01-Oct-01,2001,10,M,NO,No,No,Non violent
LEGAIA 2: DUEL SAGA,1,0,0,1,,,EIDOS INTERACTIVE ,PROKION,RPG,RPG,01-Sep-02,2002,9,T,NO,No,No,Non violent
LEGEND OF ALON D'AR,1,0,0,1,,,UBISOFT,STORMFRONT STUDIOS,ADVENTURE,GENERAL ADVENTURE,01-Dec-01,2001,12,T,NO,No,Yes,Non violent
LEGEND OF ZELDA FOUR SWORDS,1,1,0,0,ZELDA,LEGEND OF ZELDA,NINTENDO OF AMERICA,NINTENDO COMPANY,RPG,RPG,01-Aug-04,2004,8,E,NO,No,No,Non violent
LEGENDS OF WRESTLING,3,1,1,1,LEGENDS OF WRESTLING,,ACCLAIM  ,ACCLAIM STUDIOS,FIGHTING,WRESTLING,01-Dec-01,2001,5,T,NO,No,No,Violent
LEGENDS OF WRESTLING 2,3,1,1,1,LEGENDS OF WRESTLING,,ACCLAIM  ,ACCLAIM STUDIOS,FIGHTING,WRESTLING,01-Nov-02,2002,11,T,NO,No,No,Violent
LEGION: EXCALIBUR,1,0,0,1,,,MIDWAY,7 STUDIOS,RPG,RPG,01-Jun-02,2002,6,M,NO,No,No,Non violent
LEGO RACERS 2,1,0,0,1,LEGO RACERS,LEGO,LEGO MEDIA,ATTENTION TO DETAIL,RACING,ACTION ORIENTED RACING,01-Sep-01,2001,9,E,NO,No,No,Non violent
LEGO SOCCER MANIA,1,0,0,1,,LEGO,ELECTRONIC ARTS,SILICON DREAMS STUDIO,CHILDREN'S ,CHILDREN'S GAMES,01-Jun-02,2002,6,E,NO,No,Yes,Non violent
LEISURE SUIT LARRY: MAGNA CUM LA,2,0,1,1,LEISURE SUIT LARRY,,VIVENDI UNIVERSAL ,HIGH VOLTAGE SOFTWARE,OTHER GAMES,ADULT,01-Oct-04,2004,10,M,NO,Vivendi,Yes,Non violent
LEMONY SNICKET'S: A SERIES OF UN,3,1,1,1,,,ACTIVISION,ADRENIUM GAMES,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-04,2004,11,E,NO,No,No,Violent
LETHAL SKIES,1,0,0,1,LETHAL SKIES,,SAMMY STUDIOS,,FLIGHT,AIR COMBAT SIMULATIONS,01-May-02,2002,5,E,NO,No,No,Non violent
LETHAL SKIES II,1,0,0,1,LETHAL SKIES,,SAMMY STUDIOS,ASMIK ACE ENTERTAINMENT,FLIGHT,AIR COMBAT SIMULATIONS,01-Sep-03,2003,9,T,NO,No,No,Non violent
LIFE LINE,1,0,0,1,,,KONAMI DIGITAL ENT.,SONY COMPUTER ENTERTAINMENT,ADVENTURE,SURVIVAL HORROR,01-Mar-04,2004,3,M,NO,No,No,Non violent
LINKS 2004,1,0,1,0,LINKS,PRO GOLF,MICROSOFT ,MICROSOFT,SPORTS,GOLF,01-Nov-03,2003,11,E,YES,No,No,Non violent
LOONEY TUNES: BACK IN ACTION,2,1,0,1,LOONEY TUNES,LOONEY TUNES,ELECTRONIC ARTS,WARTHOG,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-03,2003,11,E,NO,No,Yes,Violent
LOONS: FIGHT FOR FAME,1,0,1,0,,LOONEY TUNES,ATARI,WARTHOG,FAMILY ,PARTY GAMES,01-Sep-02,2002,9,E,NO,No,No,Non violent
LORD OF THE RINGS,2,0,1,1,LORD OF THE RINGS,LORD OF THE RINGS,VIVENDI UNIVERSAL ,,ACTION,GENERAL ACTION,01-Sep-02,2002,9,T,NO,Vivendi,Yes,Violent
LORD OF THE RINGS: RETURN OF THE,3,1,1,1,LORD OF THE RINGS,LORD OF THE RINGS,ELECTRONIC ARTS,HYPNOS ENTERTAINMENT,ACTION,GENERAL ACTION,01-Nov-03,2003,11,T,NO,No,Yes,Violent
LORD OF THE RINGS: THE THIRD AGE,3,1,1,1,LORD OF THE RINGS,LORD OF THE RINGS,ELECTRONIC ARTS,ELECTRONIC ARTS,RPG,RPG,01-Nov-04,2004,11,T,NO,No,Yes,Non violent
LORD OF THE RINGS: TWO TOWERS,3,1,1,1,LORD OF THE RINGS,LORD OF THE RINGS,ELECTRONIC ARTS,STORMFRONT STUDIOS,ACTION,GENERAL ACTION,01-Oct-02,2002,10,T,NO,No,Yes,Violent
LOST KINGDOMS,1,1,0,0,LOST KINGDOMS,,ACTIVISION,FROMSOFTWARE,RPG,RPG,01-May-02,2002,5,T,NO,No,No,Non violent
LOST KINGDOMS II,1,1,0,0,LOST KINGDOMS,,ACTIVISION,FROMSOFTWARE,RPG,RPG,01-May-03,2003,5,T,NO,No,No,Non violent
LOTUS CHALLENGE,1,1,0,0,,OTHER,IGNITION ,KUJU ENTERTAINMENT,RACING,ACTION ORIENTED RACING,01-Aug-04,2004,8,E,NO,No,No,Non violent
LOWRIDER,1,0,0,1,,,JALECO,PCCW,FAMILY ,MUSIC/DANCE GAMES,01-Nov-03,2003,11,T,NO,No,No,Non violent
LUIGI'S MANSION,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,NINTENDO COMPANY,ADVENTURE,GENERAL ADVENTURE,01-Nov-01,2001,11,E,NO,No,No,Non violent
LUPIN 3RD: TREASURE,1,0,0,1,,OTHER,BANDAI ,BANPRESTO,ACTION,STEALTH ACTION,01-Feb-04,2004,2,T,NO,No,No,Violent
M.T. LOTUS CHALLENGE,1,0,1,0,,OTHER,XICAT INTERACTIVE,KUJU ENTERTAINMENT,RACING,ACTION ORIENTED RACING,01-Apr-03,2003,4,E,NO,No,No,Non violent
MACE GRIFFIN BOUNTY HUNTER,2,0,1,1,,,VIVENDI UNIVERSAL ,WARTHOG,SHOOTER,1ST PERSON SHOOTER,01-Jun-03,2003,6,M,NO,Vivendi,Yes,Violent
MAD DASH RACING,1,0,1,0,,,EIDOS INTERACTIVE ,CRYSTAL DYNAMICS,RACING,COMBAT ORIENTED RACING,01-Nov-01,2001,11,T,NO,No,No,Non violent
MAD MAESTRO!,1,0,0,1,,,EIDOS INTERACTIVE ,DESERT PRODUCTIONS,FAMILY ,MUSIC/DANCE GAMES,01-Mar-02,2002,3,E,NO,No,No,Non violent
MADDEN NFL 2001,1,0,0,1,MADDEN FOOTBALL,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Oct-00,2000,10,E,NO,No,Yes,Non violent
MADDEN NFL 2002,3,1,1,1,MADDEN FOOTBALL,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Aug-01,2001,8,E,NO,No,Yes,Non violent
MADDEN NFL 2003,3,1,1,1,MADDEN FOOTBALL,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,No,Yes,Non violent
MADDEN NFL 2004,3,1,1,1,MADDEN FOOTBALL,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,NO,No,Yes,Non violent
MADDEN NFL 2005,4,1,1,2,MADDEN FOOTBALL,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Aug-04,2004,8,E,NO,No,Yes,Non violent
MAFIA,2,0,1,1,,,TAKE 2 INTERACTIVE ,ILLUSION SOFTWORKS,ACTION,ACTION/DRIVING HYBRID,01-Jan-04,2004,1,M,NO,No,No,Violent
MAGIC PENGEL: COLOR,1,0,0,1,,,AGETEC,GARAKUTA STUDIO,RPG,RPG,01-Jun-03,2003,6,E,NO,No,No,Non violent
MAGIC THE GATHERING: BATTLEGROUN,1,0,1,0,MAGIC: THE GATHERING,,ATARI,SECRET LEVEL,STRATEGY,REAL-TIME STRATEGY,01-Nov-03,2003,11,T,YES,No,No,Non violent
MALICE,2,0,1,1,,,MUD DUCK PRODUCTIONS,ARGONAUT SOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Jun-04,2004,6,T,NO,No,No,Violent
MANHUNT,2,0,1,1,,,TAKE 2 INTERACTIVE ,ROCKSTAR GAMES,ACTION,STEALTH ACTION,01-Nov-03,2003,4,M,NO,No,No,Violent
MARCH MADNESS 2002,1,0,0,1,MARCH MADNESS,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,No,Yes,Non violent
MARIO GOLF: TOADSTOOL,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,CAMELOT SOFTWARE PLANNING,SPORTS,GOLF,01-Jul-03,2003,7,E,NO,No,No,Non violent
MARIO KART: DOUBLE,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,NINTENDO COMPANY,RACING,ACTION ORIENTED RACING,01-Nov-03,2003,11,E,NO,No,No,Non violent
MARIO PARTY 4,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,NINTENDO COMPANY,FAMILY ,PARTY GAMES,01-Oct-02,2002,10,E,NO,No,No,Non violent
MARIO PARTY 5,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,NINTENDO COMPANY,FAMILY ,PARTY GAMES,01-Nov-03,2003,11,E,NO,No,No,Non violent
MARIO PARTY 6 W/MIC,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,HUDSON SOFT,FAMILY ,PARTY GAMES,01-Dec-04,2004,12,E,NO,No,No,Non violent
MARIO POWER TENNIS,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,CAMELOT SOFTWARE PLANNING,SPORTS,TENNIS,01-Nov-04,2004,11,E,NO,No,No,Non violent
MARK DAVIS PRO BASS,1,0,0,1,,OTHER,NATSUME,SIMS,SPORTS,FISHING,01-Aug-03,2003,8,E,NO,No,No,Non violent
MARVEL VS. CAPCOM 2,2,0,1,1,MARVEL VS. CAPCOM,MARVEL SUPER HEROES,CAPCOM USA,CAPCOM,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-02,2002,3,T,NO,No,No,Violent
MARY KATE & ASHLEY: SWEET 16,2,1,0,1,MARY KATE & ASHLEY,MARY-KATE & ASHLEY,ACCLAIM  ,N-SPACE,CHILDREN'S ,CHILDREN'S GAMES,01-Nov-02,2002,11,E,NO,No,No,Non violent
MATT HOFFMAN'S PRO BMX 2,3,1,1,1,MATT HOFFMAN'S PRO BMX,BMX,ACTIVISION,GRATUITUS GAMES,SPORTS,EXTREME SPORTS,01-Aug-02,2002,8,T,NO,No,No,Non violent
MAX PAYNE,2,0,1,1,MAX PAYNE,,TAKE 2 INTERACTIVE ,NEO SOFTWARE,SHOOTER,OTHER SHOOTER,01-Dec-01,2001,12,M,NO,No,No,Violent
MAX PAYNE 2: THE FALL OF MAX PAY,2,0,1,1,MAX PAYNE,,TAKE 2 INTERACTIVE ,REMEDY ENTETAINMENT,SHOOTER,OTHER SHOOTER,01-Nov-03,2003,11,M,NO,No,No,Violent
MAXIMO VS ARMY OF ZIN,1,0,0,1,MAXIMO,,CAPCOM USA,CAPCOM,ACTION,GENERAL ACTION,01-Jan-04,2004,1,T,NO,No,No,Violent
MAXIMO:GHOST TO GLORY,1,0,0,1,MAXIMO,,CAPCOM USA,CAPCOM,ACTION,GENERAL ACTION,01-Feb-02,2002,2,T,NO,No,No,Violent
MAXIMUM CHASE,1,0,1,0,,OTHER,MAJESCO,GENKI,RACING,COMBAT ORIENTED RACING,01-Nov-03,2003,11,T,NO,No,No,Non violent
MC GROOVZ W/BEAT PAD,1,1,0,0,,,MAD CATZ,MAD CATZ,FAMILY ,MUSIC/DANCE GAMES,01-Nov-04,2004,11,E,NO,No,No,Non violent
MCFARLANES EVIL PRPCY,1,0,0,1,,OTHER,KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,01-Jun-04,2004,6,M,NO,No,No,Violent
MDK 2,1,0,0,1,MDK,,INTERPLAY PRODUCTIONS,BIOWARE,ACTION,GENERAL ACTION,01-Mar-01,2001,3,T,NO,No,No,Violent
MECH ASSAULT,1,0,1,0,MECH ASSAULTS,,MICROSOFT ,DAY 1 STUDIOS,SHOOTER,MECHANIZED SHOOTER,01-Nov-02,2002,11,T,YES,No,No,Violent
MECH ASSAULT 2: LONE WOLF,2,0,2,0,MECH ASSAULTS,,MICROSOFT ,DAY 1 STUDIOS,SHOOTER,MECHANIZED SHOOTER,01-Dec-04,2004,12,T,YES,No,No,Violent
MEDABOTS: INFINITY,1,1,0,0,MEDABOTS,MEDABOTS,NATSUME,VICTOR INTERACTIVE SOFTWARE,RPG,RPG,01-Dec-03,2003,12,E,NO,No,No,Non violent
MEDAL OF HONOR: FRONTLINE,3,1,1,1,MEDAL OF HONOR,,ELECTRONIC ARTS,DREAMWORKS INTERACTIVE,SHOOTER,1ST PERSON SHOOTER,01-May-02,2002,5,T,NO,No,Yes,Violent
MEDAL OF HONOR: RISING SUN,3,1,1,1,MEDAL OF HONOR,,ELECTRONIC ARTS,ELECTRONIC ARTS,SHOOTER,1ST PERSON SHOOTER,01-Nov-03,2003,11,T,NO,No,Yes,Violent
MEGA MAN ANNIVERSARY COLLECTION,2,1,0,1,MEGA MAN,MEGA MAN,CAPCOM USA,CAPCOM,ACTION,PLATFORM/SCROLLING CHARACTER,01-Jun-04,2004,6,E,NO,No,No,Violent
MEGA MAN NETWORK TRAN,1,1,0,0,MEGA MAN,MEGA MAN,CAPCOM USA,CAPCOM,ACTION,PLATFORM/SCROLLING CHARACTER,01-Jun-03,2003,6,E,NO,No,No,Violent
MEGA MAN X: COMMAND MISSION,2,1,0,1,MEGA MAN,MEGA MAN,CAPCOM USA,CAPCOM,RPG,RPG,01-Sep-04,2004,9,E,NO,No,No,Non violent
MEGA MAN X7,1,0,0,1,MEGA MAN,MEGA MAN,CAPCOM USA,CAPCOM,ACTION,GENERAL ACTION,01-Oct-03,2003,10,E,NO,No,No,Violent
MEGA MAN X8,1,0,0,1,MEGA MAN,MEGA MAN,CAPCOM USA,CAPCOM PRODUCTION STUDIO 3,ACTION,GENERAL ACTION,01-Dec-04,2004,12,E,NO,No,No,Violent
MEN IN BLACK 2: ALIEN ESCAPE,2,1,0,1,MEN IN BLACK,MEN IN BLACK,ATARI,INFOGRAMES,ACTION,GENERAL ACTION,01-Jun-02,2002,6,T,NO,No,No,Violent
MEN OF VALOR,1,0,1,0,,,VIVENDI UNIVERSAL ,2015,SHOOTER,1ST PERSON SHOOTER,01-Oct-04,2004,10,M,YES,Vivendi,Yes,Violent
MERCEDES WORLD RACING,1,0,1,0,,,TAKE 2 INTERACTIVE ,SYNETIC,RACING,ACTION ORIENTED RACING,01-Mar-03,2003,3,E,NO,No,No,Non violent
METAL ARMS GLITCH IN THE SYSTEM,3,1,1,1,,,VIVENDI UNIVERSAL ,SWINGIN' APE STUDIOS,ACTION,GENERAL ACTION,01-Nov-03,2003,11,T,NO,Vivendi,Yes,Violent
METAL DUNGEON,1,0,1,0,,,XICAT INTERACTIVE,PANTHER SOFTWARE,RPG,RPG,01-Dec-02,2002,12,T,NO,No,No,Non violent
METAL GEAR SOLID,1,0,0,1,METAL GEAR SOLID,METAL GEAR SOLID,KONAMI DIGITAL ENT.,,ACTION,STEALTH ACTION,01-Nov-01,2001,11,M,NO,No,No,Violent
METAL GEAR SOLID 2,2,0,1,1,METAL GEAR SOLID,METAL GEAR SOLID,KONAMI DIGITAL ENT.,KONAMI,ACTION,STEALTH ACTION,01-Nov-02,2002,3,M,NO,No,No,Violent
METAL GEAR:TWIN SNAKE,1,1,0,0,METAL GEAR SOLID,METAL GEAR SOLID,KONAMI DIGITAL ENT.,SILICON KNIGHTS,ACTION,STEALTH ACTION,01-Mar-04,2004,3,M,NO,No,No,Violent
METAL GEAR3:SNAKE EAT,1,0,0,1,METAL GEAR SOLID,METAL GEAR SOLID,KONAMI DIGITAL ENT.,KONAMI,ACTION,STEALTH ACTION,01-Nov-04,2004,11,M,NO,No,No,Violent
METAL SLUG 3,1,0,1,0,METAL SLUG,,SNK,SNK PLAYMORE,ACTION,PLATFORM/SCROLLING CHARACTER,01-May-04,2004,5,T,YES,No,No,Violent
METROID PRIME,2,2,0,0,METROID,,NINTENDO OF AMERICA,RETRO STUDIOS,SHOOTER,1ST PERSON SHOOTER,01-Nov-02,2002,11,T,NO,No,No,Violent
METROID PRIME 2: ECHO,1,1,0,0,METROID,,NINTENDO OF AMERICA,RETRO STUDIOS,SHOOTER,1ST PERSON SHOOTER,01-Nov-04,2004,11,T,NO,No,No,Violent
METROPOLISMANIA,1,0,0,1,,,NATSUME,INDI SOFTWARE,STRATEGY,LIFE SIMULATIONS,01-Oct-02,2002,10,T,NO,No,No,Non violent
MICRO MACHINES,1,0,0,1,MICRO MACHINES,,ATARI,INFOGRAMES,RACING,ACTION ORIENTED RACING,01-Mar-03,2003,3,E,NO,No,No,Non violent
MIDNIGHT CLUB,1,0,0,1,MIDNIGHT CLUB,,TAKE 2 INTERACTIVE ,ANGEL STUDIOS,RACING,ACTION ORIENTED RACING,01-Oct-00,2000,10,T,NO,No,No,Non violent
MIDNIGHT CLUB 2,2,0,1,1,MIDNIGHT CLUB,,TAKE 2 INTERACTIVE ,ROCKSTAR GAMES,RACING,ACTION ORIENTED RACING,01-Apr-03,2003,4,T,YES,No,No,Non violent
MIDTOWN MADNESS 3,1,0,1,0,MIDTOWN MADNESS,,MICROSOFT ,DIGITAL ILLUSIONS,RACING,ACTION ORIENTED RACING,01-Jun-03,2003,6,E,YES,No,No,Non violent
MIDWAY ARCADE TREASURES,3,1,1,1,MIDWAY ARCADE TREASURES,,MIDWAY,DIGITAL ECLIPSE SOFTWARE,ARCADE,CLASSIC ARCADE,01-Nov-03,2003,11,T,NO,No,No,Non violent
MIDWAY ARCADE TREASURES 2,3,1,1,1,MIDWAY ARCADE TREASURES,,MIDWAY,DIGITAL ECLIPSE SOFTWARE,ARCADE,CLASSIC ARCADE,01-Oct-04,2004,10,M,NO,No,No,Non violent
MIKE TYSON BOXING,2,0,1,1,,PROFESSIONAL BOXING,CODEMASTERS,ATOMIC PLANET ENTERTAINMENT,SPORTS,BOXING,01-Jun-02,2002,6,T,NO,No,No,Non violent
MINORITY REPORT,3,1,1,1,,OTHER,ACTIVISION,TREYARCH INVENTION,ACTION,GENERAL ACTION,01-Nov-02,2002,11,T,NO,No,No,Violent
MISSION IMPOSSIBLE: OPERATION SU,3,1,1,1,MISSION IMPOSSIBLE,OTHER,ATARI,PARADIGM ENTERTAINMENT,ACTION,STEALTH ACTION,01-Dec-03,2003,12,T,NO,No,No,Violent
MISTER MOSQUITO,1,0,0,1,,,EIDOS INTERACTIVE ,ZOOM,ACTION,GENERAL ACTION,01-Mar-02,2002,3,E,NO,No,No,Violent
MLB 2004,1,0,0,1,MLB,MAJOR LEAGUE BASEBALL (MLB),SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,BASEBALL,01-Mar-03,2003,3,E,NO,No,Yes,Non violent
MLB 2005,1,0,0,1,MLB,MAJOR LEAGUE BASEBALL (MLB),SONY ,989 SPORTS,SPORTS,BASEBALL,01-Mar-04,2004,3,E,YES,No,Yes,Non violent
MLB INSIDE PITCH 2003,1,0,1,0,,MAJOR LEAGUE BASEBALL (MLB),MICROSOFT ,MICROSOFT,SPORTS,BASEBALL,01-May-03,2003,5,E,YES,No,No,Non violent
MLB SLUGFEST 20-03,3,1,1,1,MLB SLUGFEST,MAJOR LEAGUE BASEBALL (MLB),MIDWAY,GRATUITUS GAMES,SPORTS,BASEBALL,01-Jun-02,2002,6,E,NO,No,No,Non violent
MLB SLUGFEST 20-04,3,1,1,1,MLB SLUGFEST,MAJOR LEAGUE BASEBALL (MLB),MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,BASEBALL,01-Mar-03,2003,3,E,NO,No,No,Non violent
MLB SLUGFEST LOADED,2,0,1,1,MLB SLUGFEST,MAJOR LEAGUE BASEBALL (MLB),MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,BASEBALL,01-Jun-04,2004,6,T,YES,No,No,Non violent
MOBILE LIGHT FORCE 2,1,0,0,1,MOBILE LIGHT FORCE,,XS GAMES,XS GAMES,ACTION,GENERAL ACTION,01-Mar-03,2003,3,E,NO,No,No,Violent
MOJO,2,0,1,1,,,CRAVE ,FARSIGHT STUDIOS,FAMILY ,PUZZLE GAMES,01-Aug-03,2003,8,E,NO,No,No,Non violent
MONOPOLY PARTY,3,1,1,1,MONOPOLY,MONOPOLY,ATARI,RUNECRAFT,FAMILY ,TRADITIONAL BOARD GAMES,01-Nov-02,2002,11,E,NO,No,No,Non violent
MONSTER 4X4: MASTERS OF METAL,2,1,0,1,,,UBISOFT,UBISOFT ENTERTAINMENT,RACING,COMBAT ORIENTED RACING,01-Nov-03,2003,11,E,NO,No,Yes,Non violent
MONSTER GARAGE,1,0,1,0,,DISCOVERY CHANNEL,ACTIVISION,IMPULSE GAMES,STRATEGY,LIFE SIMULATIONS,01-Nov-04,2004,11,T,YES,No,No,Non violent
MONSTER HUNTER,1,0,0,1,,,CAPCOM USA,CAPCOM,RPG,RPG,01-Sep-04,2004,9,T,YES,No,No,Non violent
MONSTER JAM MAXIMUM DESTRUCTION,2,1,0,1,,,UBISOFT,INLAND PRODUCTIONS,RACING,COMBAT ORIENTED RACING,01-Jun-02,2002,6,T,NO,No,Yes,Non violent
MONSTER RANCHER 3,1,0,0,1,MONSTER RANCHER,,TECMO,TECMO,STRATEGY,LIFE SIMULATIONS,01-Sep-01,2001,9,E,NO,No,No,Non violent
MONSTER RANCHER 4,1,0,0,1,MONSTER RANCHER,,TECMO,TECMO,STRATEGY,LIFE SIMULATIONS,01-Nov-03,2003,11,E,NO,No,No,Non violent
MONSTERS INC.,2,1,0,1,MONSTERS INC.,"MONSTERS, INC.",SONY ,ARTIFICIAL MIND AND MOVEMENT,ACTION,MULTIPLE/OTHER SPORTS,01-Mar-02,2002,3,E,NO,No,Yes,Violent
MORTAL COMBAT: DEADLY,3,1,1,1,MORTAL KOMBAT,MORTAL KOMBAT,MIDWAY,MIDWAY HOME ENTERTAINMENT,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-02,2002,11,M,NO,No,No,Violent
MORTAL KOMBAT: DECEPTION,2,0,1,1,MORTAL KOMBAT,MORTAL KOMBAT,MIDWAY,MIDWAY HOME ENTERTAINMENT,FIGHTING,FIGHT/HEAD TO HEAD,01-Oct-04,2004,10,M,YES,No,No,Violent
MOTO GP,2,0,1,1,MOTOGP,PRO RACING ALL OTHER,NAMCO,CLIMAX GROUP,RACING,SPORTS ORIENTED RACING,01-Oct-00,2000,5,E,NO,No,No,Non violent
MOTO GP 2,2,0,1,1,MOTOGP,PRO RACING ALL OTHER,NAMCO,CLIMAX GROUP,RACING,SPORTS ORIENTED RACING,01-Jan-02,2002,1,E,NO,No,No,Non violent
MOTO GP 3,1,0,0,1,MOTOGP,PRO RACING ALL OTHER,NAMCO,NAMCO,RACING,SPORTS ORIENTED RACING,01-Mar-03,2003,3,E,NO,No,No,Non violent
MOTOR MAYHEM,1,0,0,1,,,ATARI,BEYOND GAMES,RACING,COMBAT ORIENTED RACING,01-Jun-01,2001,6,E,NO,No,No,Non violent
MTV MUSIC GENERATOR 2,1,0,0,1,MTV,OTHER,CODEMASTERS,JESTER INTERACTIVE,FAMILY ,MUSIC/DANCE GAMES,01-Jun-01,2001,6,T,NO,No,No,Non violent
MTV MUSIC GENERATOR 3 THIS IS TH,2,0,1,1,MTV,OTHER,CODEMASTERS,MIXMAX,FAMILY ,MUSIC/DANCE GAMES,01-Jun-04,2004,6,T,NO,No,No,Non violent
MTX MOTOTRAX,2,0,1,1,,,ACTIVISION,LEFT FIELD PRODUCTIONS,SPORTS,EXTREME SPORTS,01-Mar-04,2004,3,E,YES,No,No,Non violent
MUPPETS PARTY CRUISE,2,1,0,1,MUPPETS,MUPPETS,TAKE 2 INTERACTIVE ,MASS MEDIA,FAMILY ,PARTY GAMES,01-Nov-03,2003,11,E,NO,No,No,Non violent
MURAKUMO: RENEGADE,1,0,1,0,,,UBISOFT,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,01-Mar-03,2003,3,T,NO,No,Yes,Violent
MUSIC MAKER,1,0,0,1,MUSIC MAKER,,MAGIX,MAGIX ENTERTAINMENT,FAMILY ,MUSIC/DANCE GAMES,01-Mar-03,2003,3,E,NO,No,No,Non violent
MUSIC MIXER,1,0,1,0,,,MICROSOFT ,MICROSOFT,FAMILY ,MUSIC/DANCE GAMES,01-Oct-03,2003,10,E,NO,No,No,Non violent
